Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,Weekly Wages,Annual Wages,Cluster
Juan Bernat,ESP,DF,Paris S-G,Ligue 1,29,1993,28,18,1648.0,18.3,1,4,5,1,0,0,1,0,0.9,0.9,3.1,3.9,24.0,38.0,143.0,0.05,0.22,0.27,0.05,0.27,0.05,0.17,0.21,0.05,0.21,184206,9578715,0
Beto,GNB,FW,Udinese,Serie A,24,1998,33,23,2129.0,23.7,10,1,11,9,1,1,2,0,10.9,10.1,2.6,12.6,25.0,13.0,121.0,0.42,0.04,0.47,0.38,0.42,0.46,0.11,0.57,0.43,0.53,3995,207758,2
Matteo Bianchetti,ITA,DF,Cremonese,Serie A,29,1993,25,22,2132.0,23.7,1,0,1,1,0,0,5,0,0.8,0.8,0.5,1.2,6.0,47.0,4.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,12827,667011,2
Alessandro Bianco,ITA,MF,Fiorentina,Serie A,19,2002,7,2,153.0,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,3995,207758,1
Giulian Biancone,FRA,DF,Nott'ham Forest, Premier League,22,2000,2,0,17.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25420,1321847,1
Ermin Bičakčić,BIH,DF,Hoffenheim,Bundesliga,32,1990,9,0,265.0,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,25234,1312153,1
Pedro Bigas,ESP,DF,Elche,La Liga,31,1990,28,25,2020.0,22.4,0,0,0,0,0,0,4,2,1.8,1.8,0.0,1.8,19.0,83.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,4416,229627,0
Jaka Bijol,SVN,DF,Udinese,Serie A,23,1999,32,32,2728.0,30.3,3,2,5,3,0,0,10,0,2.2,2.2,1.6,3.9,3.0,66.0,7.0,0.1,0.07,0.16,0.1,0.16,0.07,0.05,0.13,0.07,0.13,21659,1126264,2
El Bilal Touré,MLI,FW,Almería,La Liga,20,2001,21,15,1264.0,14.0,7,2,9,7,0,0,0,0,6.3,6.3,1.3,7.6,18.0,14.0,51.0,0.5,0.14,0.64,0.5,0.64,0.45,0.09,0.54,0.45,0.54,6308,328038,0
Philip Billing,DEN,MF,Bournemouth, Premier League,26,1996,36,34,2764.0,30.7,7,1,8,7,0,0,5,0,4.9,4.9,3.2,8.1,37.0,80.0,101.0,0.23,0.03,0.26,0.23,0.26,0.16,0.1,0.26,0.16,0.26,50840,2643695,2
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,29,1992,33,30,2551.0,28.3,2,4,6,2,0,1,1,0,1.8,1.1,5.5,6.6,69.0,161.0,113.0,0.07,0.14,0.21,0.07,0.21,0.07,0.19,0.26,0.04,0.23,46682,2427483,2
Samuele Birindelli,ITA,DF,Monza,Serie A,23,1999,31,14,1400.0,15.6,0,1,1,0,0,0,8,0,1.1,1.1,2.2,3.3,55.0,43.0,121.0,0.0,0.06,0.06,0.0,0.06,0.07,0.14,0.21,0.07,0.21,17453,907572,0
Tom Bischof,GER,MF,Hoffenheim,Bundesliga,17,2005,11,3,315.0,3.5,0,0,0,0,0,0,0,0,1.0,1.0,0.7,1.8,8.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.29,0.21,0.5,0.29,0.5,1682,87477,1
Yves Bissouma,MLI,MF,Tottenham, Premier League,25,1996,23,10,1010.0,11.2,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.7,14.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,69905,3635081,0
Kristijan Bistrović,CRO,MF,Lecce,Serie A,24,1998,11,5,461.0,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,4.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,18925,984115,1
Leonardo Bittencourt,GER,MF,Werder Bremen,Bundesliga,28,1993,25,22,1629.0,18.1,3,2,5,3,0,0,10,0,1.4,1.4,2.7,4.0,51.0,74.0,93.0,0.17,0.11,0.28,0.17,0.28,0.08,0.15,0.22,0.08,0.22,33645,1749537,0
Marco Bizot,NED,GK,Brest,Ligue 1,31,1991,37,37,3330.0,37.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11355,590469,2
Rubén Blanco,ESP,GK,Marseille,Ligue 1,27,1995,6,6,495.0,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49206,2558698,1
Ludovic Blas,FRA,MF,Nantes,Ligue 1,24,1997,37,30,2813.0,31.3,7,5,12,5,2,4,6,0,9.3,6.4,5.8,12.1,122.0,147.0,248.0,0.22,0.16,0.38,0.16,0.32,0.3,0.18,0.48,0.2,0.39,20187,1049722,2
